Traceback (most recent call last):
  File "/home/daimi/miniconda3/envs/chatglm3-demo/lib/python3.10/threading.py", line 1016, in _bootstrap_inner
    self.run()
  File "/home/daimi/miniconda3/envs/chatglm3-demo/lib/python3.10/threading.py", line 953, in run
    self._target(*self._args, **self._kwargs)
  File "/home/daimi/Desktop/demo/chatglm/demo_chat.py", line 36, in text_to_audio
    audio.send_data(conn, comunication.AUDIO, res)
  File "/home/daimi/Desktop/demo/comunication/comunication.py", line 34, in send_data
    conn.sendall(struct.pack('!I', data_type))
OSError: [Errno 9] Bad file descriptor

2024-08-04 18:05:07,699 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 18:05:09,813 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 18:05:11,980 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 18:06:49,997 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 18:07:04,659 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52100).wav has been deleted. |  remove_file
2024-08-04 18:07:12,337 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52101).wav has been deleted. |  remove_file
2024-08-04 18:07:12,353 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 18:07:18,011 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 18:07:19,506 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 18:07:21,234 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 18:10:12,687 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 18:10:45,228 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52132).wav has been deleted. |  remove_file
2024-08-04 18:10:54,620 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 52134).wav has been deleted. |  remove_file
2024-08-04 18:10:54,626 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
